# 1. Time(Kyr) 	 sigma_s 	 Error_s 	 Mach No 	 b 	 error_b 
# 
# 
10.00	1.03	0.01	3.56	0.39	0.01
20.00	1.06	0.01	5.20	0.27	0.00
